,Emotion,Sentence
81,Disgust,làm nghề không có tâm 🙂
138,Disgust,"xong vài tháng sau thằng bạn chung lớp chửi mình chảnh , bố đời ."
292,Disgust,việt nam học tây chỗ này đây trách gì giờ toàn cô trò rủ nhau vào nhà nghỉ
1834,Surprise,giọng nghe hay quá
1746,Surprise,có tiền mua cả cây nhỉ
503,Anger,những người nhập cho các chau ăn thịt bẩn đó họ có còn là con người nũa không ? vì tiền mà họ để lương tao bị cho cắm mất rồi . lũ khốn nạn
1319,Disgust,trước gầy giả gái xinh . giờ béo lên ông mặc cái váy như tra tấn cái váy .
945,Sadness,nghe lại mà nhớ những ngày tháng say đắm trong nỗi cô đơn
1718,Enjoyment,đáng yêu thế bà đẹp gê
53,Enjoyment,nhìn đẹp quá đi mất
448,Sadness,nhói lòng lớp tôi
584,Sadness,khổ thân em nó . ??
302,Fear,"sau khi kết hôn , anh sẽ thuê người giết cô để hưởng trọn tiền bảo hiểm 😌"
924,Other,giá mà thằng lái xe ngồi trong xe oto trông xe thì tốt biết mấy !
790,Other,dẻo phết ... nhưng mà cái gì dẻo quá cũng không tốt ...😄
1337,Enjoyment,"năm nào bố tao cũng đi , năm nào cũng về kể là đông quá cả tiếng mới nhích được 10m mà năm sau vẫn cứ đúng ngày bố tao lại đi vậy đó =))"
1901,Enjoyment,per câu chuyện này thú vị nhỉ ?
645,Disgust,"nó dựng lên nó quay đấy , nghe giọng thằng quay như giọng 2 con bede hôm bữa đánh nhau ở quán nước"
1389,Enjoyment,cưng hết phần thiên hạ
1403,Enjoyment,cười vui vãi
412,Other,có mà ngược lại ... thời thế thay đổi rồi
318,Other,tài sản thời bao cấp ...
736,Other,tưởng tượng như vừa lắp não thì lại rớt ... đại loại như vậy đó 🤣🤣🤣
1816,Enjoyment,hay lắm chàng trai trẻ
1070,Other,nhưng những người làm trong các ngành này không mấy ai có nhiều nhà to và nhiều đất đai
1865,Surprise,ăn gì khôn thế
1265,Anger,tiên sư bố mày vỡ màn hình tao rồu
325,Enjoyment,áo xinh thế .. cho tớ mượn đi tiệc nhé !
1921,Enjoyment,per hả dạ ghê mày !
567,Sadness,mày làm tao buồn đó per ??
667,Other,ai cho xin bài nhạc helo đi :))
1884,Enjoyment,giá như nơi nào cũng có 1 đội như vậy thì những người đi khuya xe hư đỡ khổ biết bao . thật là hành động đáng chia sẻ
1110,Sadness,chuẩn bị kiểm tra hình huhu :((
349,Enjoyment,em vẫn nhớ cái bếp này kkk
282,Anger,bọn này phải cho nó thưởng thức dống như nó đã làm với cây bao nhiêu cây thì bấy nhiêu mũi
1925,Surprise,7 năm rồi . nhanh quá
1069,Sadness,rụng tim 😭
1776,Disgust,admin đăng mà không nghi nguồn ở đâu ra đúng là ăn cắp bản quyền
1683,Disgust,"nhìn là biết cái quả này fa lâu lắm rồi này , cũng may chưa đóng 🕸🕸🕸😂"
1501,Disgust,chưa chi đã để thua từ hình ảnh này . thua
994,Sadness,một cái vẫy tay đầy luyến tiếc từ cuộc họp tới đất nước việt nam
872,Other,cũng đừng nghĩ là những người ân cần nhẹ nhàng với mày là tốt . xã hội bây giờ không tin bố con thằng nào được
1668,Enjoyment,mỉa mai cực mạnh =))
1111,Sadness,chưa bao giờ bắn trúng 😬
965,Other,trừ chết ra thì mọi chuyện đều có thể giải quyết 💪
1823,Enjoyment,🙂 thanh xuân của em đã từng có khoảng time tươi đẹp
1537,Anger,"đánh bố mày như này xem , bố túm được 1 con bố xiên chết cụ mày"
1026,Enjoyment,mai tao cũng đi ship mới được . có bài này áp dụng luôn .
1937,Surprise,vũ khí sinh học này mạnh thật !
1187,Enjoyment,"chồng biết không , hihi"
251,Other,per vợ thích bếp ga mini hay loại bếp ga đôi nào 😂😂😂😂
855,Other,giả sử mà bị thằng nào bỏ túi cả lọ nó có chửi không nhỉ
685,Other,"mỗi lần mẹ tao sai tao nhóm lửa , chắc tao nhóm hết 40 tờ giấy , và 1 tiếng sau mớii có lửa 😌"
146,Enjoyment,giờ mới biết =))
640,Other,per hôm nay tới lượt đứa nào nấu cơm
43,Anger,dm kiện cho đi tù chết mẹ đi
1277,Disgust,mặt con ngáo còn hiền hơn con đứng trên cây cột
1546,Sadness,chả bù cho con ml này . đợi mãi không thấy nó về . hy vọng em không bị bọn xấu bắt lên dĩa là tốt rồi :(
645,Sadness,ng ta cuối cùng thì cũng được còn tôi thì never 😞
563,Enjoyment,dễ thương vãi =)))
1509,Disgust,cô chủ nhiệm óc chó quá
91,Disgust,mấy thằng vô học
961,Enjoyment,chuột nhìn thấy mèo sợ là đúng rồi =))
84,Enjoyment,hè về chỉ thích ăn cái này .
1343,Enjoyment,per trời đựu cầu hôn nó phải thế . đã đẹp trai còn có não
1910,Enjoyment,qua câu chuyện vừa bịa ra tôi hi vọng các bạn sẽ có cái nhìn thoáng hơn về csgt việt nam 😂😂
228,Other,chúng mày ngồi canh đó cho tao . có con muỗi nào hó hé là ăn liền ??
192,Fear,"thứ yêu nghiệt , nhỏ g vẫn sợ nó nhất sau mấy con lắm chân t . t"
860,Sadness,quá ý nghĩa . mình trẻ mà chắc gì làm được vậy
970,Disgust,"thôi , bớt bớt đi không có ngày lại thiệt thân , nguyên 1 cái vỉa hè rộng thênh thang còn lắm chuyện , lúc nó đánh cho lại bảo bạo lực với nữ"
1183,Enjoyment,trời ơi . dễ thương quá luôn ❤️❤️
364,Other,cho hỏi cây cầu này ở đâu vậy ... ai biết chỉ dùm tôi cảm ơn ! 😂
854,Enjoyment,đcm ngôn tình vãiiii
1330,Sadness,rồi đất nước mình sẽ đi về đâu .:'(
1776,Other,thời buổi này là thằng con trai trước hết phải có khả năng kinh tế phải nuôi được bố mẹ rồi hãy tính đến chuyện kết hôn
1436,Sadness,"chịu hay không không quan trọng , quan trọng là không có ai lấy"
230,Other,"có hay không là ở nơi ta , đời không thú vị nhưng ta lại thấy thú vị khi được sống ở đời"
1357,Sadness,ngoài những bài chia tay vì lí do vớ vẩn ra thì neu cũng có những bài đăng đọc rồi còn nhớ mãi .
954,Disgust,dm . nó xấu cả tính lẫn nết bố đẻ . nó còn không chịu . được thằng nào bốc nó đi cái
19,Other,không thuộc kịch bản chuẩn mẹ rồi
975,Other,khi đời quá mệt mỏi . đi tìm 1 chút drama
859,Other,chỉ là nóng quá tắm cho mát thôi mà
1193,Enjoyment,cho em xin tên facebook của c trong video để khi buồn em có thứ mua vui ạ . cám ơn mọi người
644,Enjoyment,per bị chữi thì ráng nghe mà vui đi nghe . cứ như nghe hát miễn phí 🤣🤣 còn bị chữi là còn hạnh phúc . nguoi ngoài ngọt ngào nhưng chắc gì đã thật lòng đâu
1255,Disgust,trời ơi ai nuôi chó mà để nó tội thế kia . đéo có trách nhiệm
1599,Disgust,"yêu nhau lắm cắn nhau đau , tao thấy dòng chảy tiền kiếp của 2 đứa mày là vậy"
1571,Disgust,"mày đấy , đừng làm tao đau đầu thêm"
1670,Surprise,thật không thể tin được
162,Fear,có đứa nào vừa xem vừa sờ tai mình không ? sợ vãi :<<<
1909,Enjoyment,truyện thật đây này . đang đi bình thường qua đoạn cầu giấy anh csgt thổi lại “ gạt chân chống lên em . anh nhắc nhỉ thôi . đi đi “ 😂 hú hồn
1009,Other,nhìn như nó muốn dẫn nhỏ đó đi đâu ấy
1118,Enjoyment,ổng đang chán ai tán yêuc luôn 😂😂
1391,Disgust,camry nhập thường cán bộ . mà cán bộ anh em hiểu rồi
678,Enjoyment,"các chuỵ của iemm hoang sury lưu cẩm ly vui quá cơ , ghét nhau lắm có yêu thương gì đâu 😆😁😁😁"
1568,Enjoyment,"cưng vậy trời , anh cho em xin ảnh nha ạ"
532,Other,"bà này đéo gặp mình nhỉ , đọ luôn"
1479,Sadness,"tao nghĩ chắc do kiếp trước mình tu chưa thành tâm nên kiếp này cuộc đời tao như 1 trò đùa , tạo hóa ghẻ lạnh . chán đời :)))))"
989,Disgust,biết đâu nó không thích bạn mà chỉ tiếp cận bạn vì đã lỡ yêu thằng bạn thân của bạn
1236,Enjoyment,thông minh :v
511,Anger,bọn này không phải là người . cho đi tù hết . chỉ sợ nó có tiền nó bịt miệng thôi
524,Sadness,"ôi đời vẫn là chịu không nỗi đời mà , chán"
317,Enjoyment,là crush ông nào thì chạy ra bế vào nhà dễ dàng có người yêu :)
604,Anger,per thế lol nào lần nào đến fucklong uống cũng gặp ex - đồng nghiệp đứng cửa chào tụt mút đéo muốn uống nữa :)
937,Other,"nên nhớ chẳng có cơn giận nào chẳng bùng nỗ , chỉ là nó đang bị nén lại ."
1102,Disgust,"bạn này không biết cách dọn phòng rồi , phải áp dụng hóa học vào đây nhé , mút sẽ bị tan chảy khi tẩm xăng vào , cho nên bạn cần phải đổ xăng vào mút , việc tiếp theo là ta cần 1 ngọn lửa"
1364,Sadness,người yêu tao bỏ tao rồi :(
1779,Enjoyment,giờ còn lo học sánh vai với cường quốc 5 châu ai lại đi cưới chồng bây giờ :))))
777,Enjoyment,đâu phải ai muốn thích tao cũng được đâu
595,Enjoyment,hạnh phúc thật :))
8,Other,bọn này lại muốn nổi rồi !
378,Other,ờ thì 1 con ngựa ăn cả tàu bỏ cỏ vì con ngựa nó ăn hết cỏ rồi 😂😂😂
1804,Other,nó hiền thôi chứ nó hung lại đấm cho không trượt phát lào . 🤣
1784,Surprise,ủa chuyển biến bất ngờ vậy
1908,Anger,"quỳ rồi chết ông chết bà chúng mày à ? tao hồi xưa đi học còn ăn cây như cơm bữa , véo tai mỗi ngày ? dume học thì ngu phá thì giỏi bắt quỳ là nhẹ rồi ở đó mà gáy con cặc"
385,Other,dume đáng yêu vãi để tao vào chăm mày
1791,Disgust,nghe tiếng ăn tợp tợp ám ảnh quá
46,Other,thử im lặng xem như nào
1183,Sadness,thôi mình nói đùa đấy :(
1077,Disgust,ít bị trầm cảm với vui vẻ đâu không thấu chứ ế sấp mặt vì không giống gái là có à
1194,Enjoyment,bạn này yêu bố nhiều lắm mới vui vì bị bố mắng . chứ ai đời bị la mắng mà kể lại cho người khác nghe mà vui đến thế
1093,Sadness,"hôm bữa 2 bình siro dâu thấy tiếc , nay bình mật ong còn tiếc hơn"
1606,Surprise,không làm gì cũng thành fan cứng là sao ?
1156,Enjoyment,đoạn nộp bài kiểm tra mới tức cười ông thầy :))
74,Other,"má , 1 ngày tao ho 3 4 lần . tao có nên dừng ho lại không mày"
1264,Enjoyment,có ai xem xong không sợ với không giật mình như tao không @@
1718,Surprise,per wow
1620,Disgust,anh ơi đấm nó một cái cho em nhé sống mất dậy đéo tả được
147,Other,gần có tiền để mua
160,Enjoyment,dễ thở hơn so với đề văn sáng nay 😂😂😂
205,Other,tao đã làm theo video này và kết quả là .... thôi cán bộ kêu tao quét dọn rồi quét xong tao kể tiếp
528,Enjoyment,""" tụi mình tuy không yêu nhau hai lần , nhưng nếu có cơ hội ... anh chắc chắn vẫn tặng em đoá hồng đẹp nhất """
1792,Surprise,ko phải để xé giấy ak ?
409,Enjoyment,chúc mừng
779,Sadness,1 thời gắn bó với nó . nhớ lại ngày xưa cực khổ
335,Other,xem ra giá cả và chất lượng mà không oke thì không ổn ...
859,Sadness,ước gì ba còn sống để làm điều đó với má . nhớ ba ❤️
233,Fear,có chuyện gì thê bố . bố đừng làm con sợ :((
1320,Disgust,lêu lêu mày :)) đồ con chó không có mẹ ẳm :))
42,Other,đang tìm ra 1 điểm sai nào đó nhưng có lẽ không có :)
1360,Enjoyment,bộ phim đáng xem đó mấy man
789,Other,per quan trọng là phải có hội nói sấu sếp :v
1762,Enjoyment,bà nuốt quả chuối tao cười tao ẻ
403,Sadness,😭😭😭 sinh lão bệnh tử hẹn gặp kiếp sau
1522,Sadness,tao đa khóc khi xem phim này 😭😭😭😭😭
933,Enjoyment,"con mong bác dù nghèo nhưng sống luôn luôn vv , chúc bác 1 đời bình an"
1326,Enjoyment,thương nhau còn chả hết dỗi nhau làm chi 😂
110,Disgust,đéo bao giờ luôn :)
20,Enjoyment,"câu này lên "" nhanh như chớp "" được nờ 🤣"
1720,Disgust,ý thức của thằng lái xe đấy kém quá cho lên nó phải chả giá bằng tiền mặt thôi . không có gì phải chách ai cả .
1298,Sadness,yêu quá đi mất . tuổi thơ của mình toàn nện mấy thằng con trai . trong lớp mình toàn làm xếp nên chẳng được giúp đỡ
1870,Anger,ngứa mắt lắm à nhen
1857,Enjoyment,phìm này rất rất hay đôi với ai sống hướng nội !
282,Fear,e vừa bị điện cao thế giật hôm 17 chạp . bh nhìn cái ông này mà sợ .
9,Other,đây là kiểu tự tay bóp dái nè
1129,Sadness,tận cùng của tan vỡ ah có biết là gì không ?
214,Disgust,gặp tao thì tao khinh
443,Other,"năm ngoái lấy ghế ra ngồi rồi , năm nay lấy xe chạy ra đường để nhìn cho rõ"
1018,Other,quan trọng vẫn là cái phải đẹp trai . rồi mới sau đó nữa ... lạ gì các bà
950,Sadness,"per hay đó bro , trừ điểm bro chưa bao ăn :)) - 10"
1909,Anger,mất trật tự thôi có cần phải z không bắt đứng là được rồi cùng lắm là mời phụ huynh vô nói trao đổi có cần phải bắt quỳ trước lớp z không như z khác nào chà đạp lòng tự trọng của nó .
527,Sadness,moá hồi hợp chờ main thắng ai dè thua bởi cái mông huhu
940,Other,mình hiền mà lúc cáu là chỉ im lặng không nói gì thì là sao ta 🤔
1165,Disgust,toàn để báo nó giật tít không thèm đọc cả bài rồi giãy nảy lên như đỉa phải vôi
1248,Sadness,buồn vì mình không giúp được gì cho ai . nhìn những người khác khổ hơn mình mà thấy thương họ
934,Other,per muốn nói gì phải ngó trước ngó sau không chi mất đầu như chơi 😂😂
1901,Disgust,"câu chốt .... "" chuyện cổ tích per "".... thôi tao quỳ ..."
25,Disgust,"chán đời các thanh niên , dơ nhục chứ hay ho đéo gì"
1735,Surprise,"nhìn 1 hồi thấy quen quen , ai ngờ đúng thật :)))))))"
547,Enjoyment,"những chuyện trọng đại trong đời ... ta cứ nghe lời vợ khuyên , và làm ngược lại ắt thành công ????"
611,Other,lại cho lên chơi với các cụ 😌😌😌
318,Fear,không muốn yêu ai cả
434,Sadness,bộ cuối nhìn đau lòng thật :(
1048,Enjoyment,động lực của phan con gái
518,Other,đẹp không
131,Enjoyment,ý nghĩa và đáng suy ngẫm thật
1484,Disgust,chó đã biết chê cứt
18,Fear,sợ vãi linh hồn 😞
1246,Enjoyment,đi đâu cũng ngó ngang ngó dọc để được nhìn thấy crush 😂 ngóng nó đến mức cổ dài ra hẳn mấy cái 😂
878,Enjoyment,đúng vậy dù có mệt mà đồng nghiệp nhiệt tình vui vẻ là cùng muốn đi hoài
366,Enjoyment,cái ông aamir khan đóng phim nao cũng hay và ý nghia het
1028,Sadness,rồi chưng ngắn như tao sao nhảy qua 😿
1615,Disgust,"rốt cục sao chúng nó mò về tận nhà bạn nhỉ , kinh vãi"
551,Other,vỉa hè rộng thênh thang mà nhỉ
629,Enjoyment,bếp dầu ngày xưa thật ý nghĩa
1187,Sadness,lâu rất lâu mới gặp được lần rồi liết mắt nhìn cái :)))) chưa thấy nó cười
554,Enjoyment,giận lại là cách giải quyết nhanh nhất . để khẳng định là mình luôn đúng 😃
779,Disgust,nhìn ghét nhỉ :))
851,Sadness,tao chả nhớ ngày tháng năm sinh của mẹ tao và ngược lại :((
63,Enjoyment,em ấy còn cười được chứng tỏ em rất mạnh mẽ
200,Other,lấy rơm nấu cơm và cái kết
798,Disgust,có án rồi đừng làm trò . anh hùng rồi lại quay lại trại đấy :)))
1129,Disgust,hư hỏg cả thế hệ
1359,Enjoyment,cảm ơn . anh .
237,Enjoyment,mất tiền khôn cũng đáng mà .
1674,Enjoyment,"thương vãi , yêu vãi 😍😍😍 tao cũng thèm có em"
195,Other,per nơi tình yêu bắt đầu kìa bao nhiêu
145,Enjoyment,đúng cát bà rồiii ~
7,Fear,"có ai nhìn thấy giun đang bò trong ảnh không , sợ vãi"
1306,Sadness,tao đau lòng quá
1681,Surprise,ồ ra thế . tớ sẽ lưu ý :)) mong sẽ có cơ hội sờ nó . nhìn như cục bông í uwu
1839,Enjoyment,xem giải trí thật
176,Enjoyment,giờ mới hiểu tại sao lúc đầu nhà hàng không cho đặt chỗ ..... má nó li hôn 3 lần rồi lần nào cũng phải giảm giá 30 % nó ly hôn thêm vài lần nữa chắc sập bà nó tiệm
943,Disgust,đã ngu lại con tỏ ra nguy hiểm .
699,Sadness,giống tao . nhưng cô ấy có hiểu đâu
907,Enjoyment,uất quá anh ấy cũng phản ứng cãi lại . hì hì đáng yêu quá
834,Sadness,nhà tao có nhưng nó rỉ sét hết rồi :((
613,Anger,người mất dậy thật thì không bao giờ cảm thấy mình mất dậy . và người mất dạy thì cứ địt mẹ người khác và nói người khác là người mất dạy . tôi nhầm hành tinh chuẩn mẹ rồi .
1161,Enjoyment,hồi bé bị ghiền mùi này :))))
172,Enjoyment,lạy ông nào nghĩ ra kịch này !!!
842,Sadness,thấy tội nó ghê ????
1729,Enjoyment,"thiệt là cao minh , hahaaa"
557,Other,tao chơi với con trai nhiều nên tao mất lòng tin vào con trai rồi
371,Other,tốt nhất là phải sử phạt thật nặng thì các trường hợp như vậy mới không tiếp tục xảy ra
479,Other,dĩa bay . trả lại để tôi về
1803,Enjoyment,"per cố gắng lên nha anh , mọi điều tốt đep đang chờ anh 💓💓"
873,Sadness,per 2 ly trà sữa bạn làm rơi mà chưa thấy bồi thường lại mình 😞
679,Enjoyment,ỏ đáng yêu =)))
1172,Disgust,hết hồn . sợ quá nhỉ . nhạt !
1380,Sadness,chắc phát khóc mất 😭
766,Enjoyment,những người thương tôi không phải buồn vì tôi mà là tự hào vì tôi
986,Disgust,"10 triệu có lẻ quá ít so với số tiền mà bọn nầy được thê để phá hoại cả một nền chăn nuôi gia súc nói riêng , cả một nền kinh tế nói chung ,,,,"
17,Enjoyment,cười ỉa thánh nào làm video này
686,Other,bài này quen quen
292,Fear,rất nguy hiểm
912,Sadness,nhìn quả mặt của nó thì tao công nhận thất tình thật đáng thương ?
936,Sadness,tội quá . thương em
1414,Disgust,mập mà xinh nó sẽ khác mập và xấu - _ -
1217,Other,đồng nghiệp là ai kệ mẹ nó quan trọng lương bao nhiêu
1123,Sadness,mỗi mùa trung thu đến nhìn người ta mua bánh tặng nhau mình lại thấy chạnh lòng ! 😞
848,Other,khác xưa thật mà
286,Enjoyment,khá quá nhể :)))
1046,Sadness,"t thề mỗi lần dọn phòng sn này thì banh kem , pháo kim tuyến . đủ các thứ . khóc mà bụt nó đéo lên"
274,Fear,toàn tặng đồ gây sát thương thế kia khả năng bị phản damage là rất cao
1357,Enjoyment,"bỏ qua mấy dòg chữ , nhìn khuôn mặt con bé không thể nhịn cười per :))"
501,Anger,"bọn này đóng điện cho nó đi luôn , giữ làm gì cho chật đất"
1682,Surprise,tui còn chưa biết sì phố là gì . ổng biết luôn á trời
734,Other,hàng cổ rồi anh ơi
1887,Surprise,a cũng ở trong đây à
1062,Disgust,đổi cả cuộc đời giống người tàn tật để được cái video này .
1845,Enjoyment,yêu quá hóa điên 🤣
1313,Disgust,"per tao đã khuyên mày rồi mà không nghe , làm màu chi mà tặng hộp quà cho bự để người ta dọn cực khổ đến nỗi đăng lên mxh kìa 😩"
170,Disgust,"chọn thằng nào không quan trọng , vì đằng nào cũng không có thằng nào nó thích em đâu mà ảo tưởng =))"
1210,Enjoyment,buổi tối vui vẻ và ấm áp nhé đại kỷ nguyên ! tương tác cho hằng khỏi trôi bài nhé !
1603,Enjoyment,tụi nhỏ dễ thương quá
1221,Enjoyment,vậy mình xin chúc đk n năm tới không còn cô đơn nữa nha kkkkklk
1221,Disgust,toàn mấy con bán hàng online đăng để cau view thôi phạt nặng vào
1392,Sadness,ngày hôm ấy tuyệt đẹp nhưng lại đượm một nỗi buồn ngày mai thôi chg được gặp thầy cô bb lũ chúng tôi khép cánh cửa ấy lại nhìn lại toàn bộ khung cảnh ôi thân thương biết mấy cảnh vật quen thuộc sẽ không được trông thấy nữa
1502,Disgust,nhỏ mà mất nết
1073,Disgust,200 triệu này lấy từ nguồn ngân sách nào để bồi thường ? hay cứ lấy từ từng đồng tiền thuế của người dân để sửa sai lầm cho 1 cá nhân hay một đơn vị tư pháp ?
1412,Disgust,thằng này bị điên chuẩn mẹ rồi
605,Sadness,đúng là nói thì dễ hành động không bao giờ làm được )))
839,Other,nhà nước pháp luật việt nam lên tiếng hộ em nó cái
74,Other,theo tao thì mày nên chọn thằg nhiều tiền . đến năm cuối thì mày quay lại chọn với thằg nhiều tiền học bổg . m hỏi vậy là mày được lựa chọn mà . đấy là cách tốt nhất cho người hám tiền như mày
1768,Enjoyment,nghe nói 2020 hơn 4tr đàn ông sẽ ế vợ . mình chỉ việc chờ thêm 1 năm nữa thôi là đăng tin tuyển chồng 😂😂
1097,Enjoyment,đại học vui lắm cậu :)) weeee
833,Disgust,"chú em còn non quá , kêu thu ngân đánh thêm phần phụ thu dọn vệ sinh 200k , không đưa thì kêu bảo vệ không cho lấy xe , đó quy định hầu hết các quán karaok , trường hợp phụ thu là mang đồ ăn ngoài vào , ói trong phòng , và đỗ bia nước ngọt , xả rát kiểu như trong video"
837,Enjoyment,k cần biết nội dung ... nhìn mặt con bé thoy muốn cưới về cho con trai mình ngay rồi 😂😂
1068,Enjoyment,ngày bé nấu hoài không chín . tức rủ mấy đứa ra đốt cả đống rơm nhà hàng xóm
1057,Sadness,"crush đi nhậu rồi say , rồi bị thịt ... hic hic"
1842,Disgust,"trong tất cả các con , con mèo là mất dạy nhất …"
264,Disgust,"cây hoa sữa thì nói cây hoa sữa đi , tình yêu tình báo gì ra ngửi mùi chắc mất mẹ tình yêu luôn"
1370,Enjoyment,thương thương con =)) yêu ghê cơ ý cái mẹt hờn dỗi
1049,Disgust,"cái thế giới loạn hết rồi , loạn thật rồi , trả tao cái đĩa bay"
570,Enjoyment,quê ở huyện kế bên mà chưa 1 lần đi =))))
1802,Enjoyment,hãy cười thật tươi để cho cuộc sống của bạn trở nên thật tuyệt vời 😁
204,Enjoyment,tuyển ngay về làm nghiên cứu viên cao cấp cho các hãng khóa :d
763,Other,"tao cứ nhìn xong nghĩ , tay nào cầm bút là tay phải ,"
366,Other,"nó sẽ ra cái ốp , lo gì thiếu đồ chơi"
1388,Disgust,"ờ đúng rồi , có thể chỉ là đang lợi dụng mày viết content free xong thích là sửa thôi hihi"
883,Enjoyment,con bé cưng gì đâu . vk ơi anh muốn có cục bảo bối như vậy per
1504,Enjoyment,cưng quá trời luôn
1149,Disgust,a triệu mua quả báo thì quá rẻ mạt 😞 tiếc là luật có vậy 😏
1590,Enjoyment,cực kì bản lĩnh lẫn liều lĩnh
109,Enjoyment,aeon tâm lý thế :)) mày . n vào mua que kem tránh nóng
625,Disgust,người ta đỗ dưới lòng đường chứ đỗ vào nhà chị đâu mà van hóa gì . chủ thớt mới là người ấu trĩ lạc hậu nhé
292,Enjoyment,chị lỡ mất 1 nhịp tim vì cưng đấy ❤️❤️❤️
1257,Enjoyment,:)) đéo hiểu sao mấy phim truyền hình của ấn xl vãi mà phim như thế nào thì lại qá hay
1575,Sadness,per chán quá
576,Sadness,nghe thấm câu vàng trắng nhưng thực tế là trắng tay thôi nghe mà buồn
911,Other,thoa kem chống nắng như người ...
1815,Surprise,per đấy móng tay dài nhất thế giới đấy
488,Other,đằng nào mà chẳng thịt chẳng qua sớm hay muộn thôi
110,Other,trên thì một kiểu dưới thì kiểu khác
1162,Sadness,"nhạc buồn quá . bài này là bài "" chia tay trong chiều hoàng hôn nắng úa màu "" - justin bieber cho bạn nào chưa biết nhé . :'("
676,Enjoyment,per đây . cô gái bán hàng thú vị đây . phải xem cho hết
1216,Sadness,dẫu hiên ngang giữa đất trời gặp con vợ đểu thì đời cũng xong
1508,Enjoyment,"cmt buồn cười vll , nhớ mình cừng có kinh nghiệm chạy ngỗng :)))"
628,Other,"lớn lên rồi ta sẽ tự hiểu .. "" tại sao ngày đó cha mẹ thế này thế kia với ta "" ..."
524,Other,hình như câu này quen quen ý le tuyet nguyen nhỉ
1837,Anger,nó ăn cà rốt chứ nó ăn cái gì mà liếc quễ mều mặp 😡😡😡
1685,Enjoyment,quả này cũng chất lắm
81,Fear,hồi bé bị ngỗng dí hoài =)) sợ vãi
660,Sadness,tao ngồi tao khóc 1 buổi ☹️
355,Enjoyment,crush của tao đi làm rồi . hihee . sáng mai mới về cơ 🤣🤣
1316,Sadness,khoảnh khắc mày nhận ra mày còn đéo bằng 1 thằg nhóc còn trong bụng mẹ :((
1,Other,chúng mày cứ ra phim boom tấn cho nhiều vào
463,Sadness,cao quá cũng khổ chứ sung sướng đéo gì 😓
1883,Disgust,ý thức quá kém .
39,Disgust,bẩn bựa vlon 😤
1056,Disgust,một con cá chép đang bơi trong hồ mà đã tính chuyện đánh bại những con rồng vẫy vùng 5 châu !
1758,Enjoyment,ai cũng nói tao đẹp troai . hiền lành nhưng chưa biết lúc tao lên cơn 😂😂😁
1000,Disgust,điên
1766,Sadness,chủ tịch đi nặn mụn ở tai và cái kết khóc thét
1022,Other,hành vi của người bố có phần nào ảnh hưởng đến đứa con . cô bé cười . không phải vì cô bé mạnh mẽ . mà là cô bé đã bất cần
1507,Sadness,xem phát khóc mẹ luôn 😭😭😭
868,Enjoyment,per nhìn nó gớm những vẫn khoái coi . thú vui biến thái dễ sợ
1538,Sadness,mèo nhà tao gửi 10 ngày về ăn tết lên nó thành mèo hàng xóm này ( nhà hàng xóm bán cá ) :((
936,Other,"còn những người bình thường rất dữ , thật ra họ hiền lắm , nội tâm lắm"
942,Other,giống như thổi khí vào bong bóng đến một lúc nào đó thì nó phát nổ
400,Enjoyment,ha ha ....
0,Fear,nhìn giống mấy đặc vụ của cia . sợ thế :))
1098,Other,tao đang thă ́ c mă ́ c ta ̣ i sao thă ̀ người da đen no ́ quen được con nho ̉ da tră ́ người ngon va ̃ i thê ́ nhy ̃. 😑😑😑
279,Fear,thế giới giờ đáng sợ quá rồi 😌😌 tâm phải tịnh không là tiêu nha mấy ông 😢
181,Disgust,"vietcombank phục vụ tệ , phí cao , mang mác nhà nước nên vậy ."
1872,Surprise,bất ngờ vãi =))
531,Sadness,bữa cơm trưa nay tăm tối như cái ava của tao vầy :((((((
1380,Disgust,hội những con pug láo lếuuuuuu
252,Anger,dè nghị khởi tố luôn những người biết mà che dấu
615,Other,per mày đang nghĩ đến ai
623,Sadness,bà già đau khổ
825,Sadness,"không phù hợp thổ nhưỡng , khí hậu . vậy mà vẫn tung hô , dải ngân để làm khổ dân . quả bóng trách nhiệm chẳng thuộc về ai cả . 😢😢"
1547,Disgust,đúng là cái thứ vô học
715,Sadness,nhiều lúc em di từ từ chưa kịp đỗ đã có n ra bảo không được đỗ ở đây chán qúa
1055,Enjoyment,chỉ cần thích cái là muốn rụng tim
1341,Sadness,vui tính tí cũng khó cơ
1558,Sadness,chỉ còn lại tro tàn
904,Disgust,lỗi tại thằng quay phim . cắt không đúng lúc
1219,Enjoyment,kkk ... bếp dầu một thời ta hay nấu đây nè
14,Fear,đag đi học mà gặp cảnh này :)) chắc chạy về cúp học luôn
1422,Anger,anh con mẹ mày :)))
1881,Surprise,ngạc nhiên đấy
698,Other,xã hội giờ càng ít nói như tao thì càng ngoan hiền
521,Other,nhìn mặt con bé kiểu . ơ cái gì vậy
1002,Disgust,hư cấu 😌
1386,Enjoyment,bộ phim ấn độ duy nhất xem được lol
146,Other,vậy mới biến thành người nhện được
1667,Enjoyment,per đã hiểu sao hè năm ngoái có quả lịch học vãi chưa =))
1860,Enjoyment,rõ ràng vẫn là một người mà cắt tóc xong nhìn đáng yêu vãi :v
268,Disgust,đm lúc tao học đến chương đó nguyên tiết bà cô toàn chia sẻ kinh nghiệm chuyện tới tháng 🙂 đéo thú vị được như vầy :vv
166,Other,vật chất quyết định ý thức
